Work ID,Title,Authors,First Publish Year,Edition ID,Edition Count,Bookshelf,My Ratings,Ratings Average,Ratings Count,Has Ebook,Subjects,Subject People,Subject Places,Subject Times
OL37988661W,"Fantascienza. I migliori racconti di famosi scienziati","[Isaac Asimov](https://openlibrary.org/authors/OL34221A/Isaac_Asimov)",1993,OL51473236M,1,Already Read,,,,False,"","","",""
OL64462W,"Island","[Aldous Huxley](https://openlibrary.org/authors/OL19767A/Aldous_Huxley)",1962,,33,Already Read,,3.67,6,True,"Fiction | Survival after airplane accidents, shipwrecks | Journalists | Utopias | Islands | Survival | British and irish fiction (fictional works by one author) | Science fiction","","Oceania",""
OL64468W,"Brave New World","[Aldous Huxley](https://openlibrary.org/authors/OL19767A/Aldous_Huxley)",1932,,508,Already Read,,3.93,367,True,"Utopias | Brainwashing | Moral and ethical aspects of Science | Fiction | Science and state | Social problems | Passivity (Psychology) | Culture | Propaganda | Genetic engineering | Science | English fiction | Science fiction | Dystopias | Totalitarianism | Collectivism | Control (Psychology) | History and criticism | Ciencia-ficción | Lavado de cerebro | Ficción | Science-fiction anglaise | Science-fiction | Reading Level-Grade 9 | Reading Level-Grade 11 | Reading Level-Grade 10 | Reading Level-Grade 12 | Gesellschaft | Moral and ethical aspects | Totalitarismus | Ethics | British and irish fiction (fictional works by one author) | Fiction, psychological | Fiction, political | Fiction, science fiction, general | Long Now Manual for Civilization | Spanish fiction | Capitalism | Dystopia | satire | class systems | London | future | capitalist civilization | English Science fiction | Large type books | Psychological fiction | Political fiction | Classics | Dystopian | New York Times reviewed | Fiction, general | English literature | American fiction (fictional works by one author) | Control (Psicología) | Aspectos morales y éticos | Ciencia y Estado | Ciencia | collectionID:ConroeChallenge | Audiobooks | Atomic bomb | Desertification | Radioactive pollution | Environmental aspects | Nature | Effect of human beings on | Realism in literature","Bernard Marx","Central London Hatchery | London | United Kingdom","Ethical Aspects | Sci-Fi | Future | Past | 21st Century"
OL103138W,"Now and Forever","[Ray Bradbury](https://openlibrary.org/authors/OL24137A/Ray_Bradbury)",2007,,25,Already Read,,,,True,"American Science fiction and Comets and Astronauts and Fiction and Science fiction and American Fantasy fiction and Authors and Fiction, science fiction, general and Fiction, fantasy, general and Large type books and Novela fantástica estadounidense and Ciencia-ficción estadounidense","","Arizona",""
OL103183W,"Long After Midnight","[Ray Bradbury](https://openlibrary.org/authors/OL24137A/Ray_Bradbury)",1920,,22,Already Read,,3.00,2,True,"American Science fiction and English Short stories and Fiction, science fiction, general","","",""
OL103118W,"Dandelion Wine","[Ray Bradbury](https://openlibrary.org/authors/OL24137A/Ray_Bradbury)",1946,,53,Already Read,,4.24,21,True,"Fiction and Boys and City and town life and Translations into Russian and Science fiction, American and American Science fiction and Illinois, fiction and Fiction, coming of age and Bildungsromans","","Illinois","1930s America"
OL103194W,"Something Wicked This Way Comes","[Ray Bradbury](https://openlibrary.org/authors/OL24137A/Ray_Bradbury)",1962,,54,Already Read,,4.07,28,True,"Boys and Fiction and Male friendship and Fathers and sons and Carnival and Fiction in English and sci-fi and Social life and customs and Fantasy and Fantasy fiction and Horror and Carnivals and Science fiction and Friendship and Novela Inglesa and Fiction, horror and Fiction, coming of age and Fiction, fantasy, general and Fathers and sons, fiction and Illinois, fiction and Friendship, fiction and Large type books and Fêtes foraines and Romans, nouvelles and Rejuvenation and Rajeunissement and Teachers and History and criticism and American literature and Drama (dramatic works by one author)","","Illinois and Argentina and Greentown",""
OL103123W,"Fahrenheit 451","[Ray Bradbury](https://openlibrary.org/authors/OL24137A/Ray_Bradbury)",1953,,250,Already Read,,3.94,359,True,"Mechanical Hound and girl next door and Long Now Manual for Civilization and Terrorismo estatal and Censura and Novela and Totalitarismo and science fiction and political fiction and satire and Zukunft and State-sponsored terrorism and Totalitarianism and Book burning and Censorship and Fiction and American Science fiction and Fictional Works and Terrorism and Reading Level-Grade 7 and Reading Level-Grade 9 and Reading Level-Grade 8 and Reading Level-Grade 11 and Reading Level-Grade 10 and Reading Level-Grade 12 and Fiction, dystopian and Fiction, science fiction, general and Fiction, political and Drama and Large type books and American literature and award:retro_hugo and Terrorismo and Totalitarianisms and Bücherverbrennung and Terrorisme d'État and Romans, nouvelles and Totalitarisme and Autodafé de livres and Zhang pian xiao shuo and Education and Language arts and Fiction, horror and Science fiction, american and Book burning--fiction and Censorship--fiction and State-sponsored terrorism--fiction and Totalitarianism--fiction and Ps3503.r167 f3 2012 and 813/.54","Guy Montag and Captain Beatty and Clarisse McClellan","Mei guo","Xiandai"
OL1168007W,"Animal Farm","[George Orwell](https://openlibrary.org/authors/OL118077A/George_Orwell)",1945,,408,Already Read,,4.08,423,True,"British and irish fiction (fictional works by one author) and political satire and classic and animal drama and Fiction, political and English literature: literary criticism and For National Curriculum Key Stage 4 & GCSE and Fiction, satire and English literature and Comics & graphic novels, literary and Comics & graphic novels, adaptations and Fiction and Literature and Drama (dramatic works by one author) and Animals, fiction and Behavior, fiction and Totalitarianism and Domestic animals and Large type books and Zhong pian xiao shuo and Lectures et morceaux choisis and Français (langue) and Roman and English Political satire and Animales domésticos and Ficción and Totalitarismo and Translations into Chinese and Animals in literature and Children's fiction and Animals and Power (Social sciences) and Fiction, science fiction, general and Orwell, george, 1903-1950 and Farms and Livestock and Political corruption and Englischunterricht and Skönlitteratur and Fiction, general and Political science and Fables and Satire and Political fiction and Politique-fiction and Animaux domestiques and Romans, nouvelles and Totalitarisme and Fiction, short stories (single author) and In literature and Allegories and Political satire and Classic and Animal drama and For national curriculum key stage 4 & gcse and English political satire and Translations into chinese and Power (social sciences)","[George Orwell](https://openlibrary.org/authors/OL118077A/George_Orwell) (1903-1950)","United Kingdom",""
OL1168083W,"Nineteen Eighty-Four","[George Orwell](https://openlibrary.org/authors/OL118077A/George_Orwell)",1949,,429,Already Read,,4.26,255,True,"futurology and censorship and surveillance and rebels and sting operations and historical negationism and memory holes and thoughtcrime and Outer Party and resistance movements and Newspeak and perpetual war and telescreens and cult of personality and Ingsoc and Satirical literature and English science fiction and FICTION CLASSICS and CLASSICS and CONTEMPORARY FICTION and Man-woman relationships and Politique and Political fiction and Totalitarisme and Fiction and Romans and Facsimiles and Totalitarismo and Husbands and Classic Literature and Manuscripts and Novela política and Middle aged men and Insurance agents and open_syllabus_project and Distopías and Dystopias and Ficción and Ciencia-ficción and Cautionary tales and verse and Dystopias in literature and Suburban life and English fiction and Totalitarianism and Indic fiction (English) and Science Fiction and Traducciones al español and Novela and Novela inglesa and Zukunft and Polizeistaat and English Political fiction and Totalitarianism and literature and History and criticism and Reading Level-Grade 11 and Reading Level-Grade 12 and British and irish fiction (fictional works by one author) and London (england), fiction and Fiction, political and Fiction, dystopian and Fiction, science fiction, general and English literature and Correspondence and Journalists and English Authors and Correspondence.. and Authors and publishers and Fiction, short stories (single author) and British and irish drama (dramatic works by one author) and Brainwashing and Authoritarianism and NOVELAS INGLESAS and Accessible book and Fiction, historical, general and Political science and Satire and Romans, nouvelles and Literature and Fiction, general and Psychological fiction and Drama and Dystopian plays and Essays and Literary and Nationalism and Lexicography and Language & literary studies and English manuscripts and Translations into russian and Translations into urdu and Fantasy and Translations into spanish and Nineteen eighty-four (orwell, george) and Translating and interpreting and Comic books, strips and Adaptations and Totalitarianism--fiction and Pr6029.r8 n49 2003","Big Brother and Emmanuel Goldstein and Thought Police and Winston Smith and Julia and O'Brien and Aaronson and Jones and Rutherford and Ampleforth and God and Rudyard Kipling and Charrington and Katharine Smith and Tom Parsons and Mrs. Parsons and Syme and Leonard Moore and René-Noël Raimbault","England and London and Londres (Inglaterra) and Airstrip One and Oceania and Eastasia and Ministry of Truth and Ministry of Love and Ministry of Plenty and Ministry of Peace and Room 101 and Eurasia and Records Department and Great Britain and London (England) and United States","20th century and 1984"
